OID_,CID,L7_20010104_NIR,L7_20010205_NIR,L7_20010426_NIR,L7_20021123_NIR,L7_20030211_NIR,L7_20031228_NIR,L7_20040402_NIR,L7_20040418_NIR,L7_20041214_NIR,L7_20050304_NIR,L7_20050320_NIR,L7_20051201_NIR,L7_20060307_NIR,L7_20070206_NIR,L7_20080429_NIR,L7_20081022_NIR,L7_20090110_NIR,L7_20090227_NIR,L7_20101215_NIR,L7_20101231_NIR,L7_20110321_NIR,L7_20110508_NIR
11,1,0.151532500000000,0.147847500000000,0.223940000000000,0.188272500000000,0.179885000000000,0.209337500000000,nan,0.256472500000000,0.184037500000000,0.198200000000000,0.202352500000000,0.183680000000000,0.208595000000000,0.185715000000000,0.226057500000000,0.205047500000000,0.189757500000000,nan,0.193387500000000,0.202187500000000,0.223720000000000,0.287300000000000
12,1,0.213022500000000,0.180682500000000,0.224132500000000,0.237552500000000,0.223472500000000,0.234995000000000,0.243657500000000,0.245335000000000,0.230155000000000,0.223280000000000,0.230045000000000,0.221465000000000,0.229082500000000,0.211372500000000,0.226030000000000,0.222455000000000,0.223005000000000,0.226855000000000,nan,0.139240000000000,nan,nan
13,1,0.169462500000000,0.147765000000000,0.175292500000000,0.190912500000000,0.188877500000000,0.197457500000000,0.217560000000000,0.237800000000000,0.208815000000000,0.193910000000000,0.198282500000000,0.204140000000000,nan,0.191352500000000,0.229880000000000,0.213270000000000,0.211757500000000,0.222675000000000,0.214810000000000,0.221575000000000,0.227405000000000,0.227625000000000
14,1,0.177300000000000,0.151202500000000,0.256005000000000,0.257820000000000,0.145180000000000,0.144987500000000,0.245197500000000,0.242200000000000,0.147490000000000,0.121200000000000,0.125545000000000,0.155630000000000,nan,0.166355000000000,0.289527500000000,0.227762500000000,0.155877500000000,0.178565000000000,0.163797500000000,0.175100000000000,0.249102500000000,0.379095000000000
15,1,0.180792500000000,0.170865000000000,0.195725000000000,0.174522500000000,0.170370000000000,0.186870000000000,nan,0.302315000000000,0.183707500000000,0.176667500000000,0.186320000000000,0.200812500000000,0.233757500000000,0.185797500000000,0.236535000000000,0.258892500000000,nan,nan,0.230210000000000,0.234060000000000,0.228065000000000,0.249185000000000
16,1,0.268270000000000,0.256170000000000,0.290297500000000,0.174495000000000,0.157692500000000,0.152467500000000,0.172762500000000,0.183982500000000,0.176145000000000,0.159590000000000,0.162120000000000,0.190527500000000,0.195505000000000,0.202682500000000,0.250395000000000,0.222922500000000,0.219155000000000,0.223637500000000,nan,0.229715000000000,nan,nan
17,1,0.224270000000000,0.223527500000000,0.237415000000000,0.214260000000000,0.220392500000000,0.220502500000000,0.236315000000000,0.262715000000000,nan,0.214535000000000,0.222400000000000,nan,0.212197500000000,0.198832500000000,0.236040000000000,nan,0.200620000000000,0.205212500000000,0.189015000000000,nan,0.211565000000000,0.267252500000000
18,1,0.188245000000000,0.184422500000000,0.284357500000000,0.188107500000000,0.195752500000000,0.171552500000000,0.294175000000000,0.311775000000000,0.202352500000000,0.176640000000000,0.226112500000000,0.183735000000000,0.229495000000000,nan,0.310592500000000,nan,0.223225000000000,0.240825000000000,0.222757500000000,nan,0.302370000000000,0.327642500000000
19,1,0.228037500000000,0.220227500000000,0.209145000000000,0.237855000000000,0.239065000000000,0.228202500000000,nan,0.219815000000000,0.220117500000000,0.193442500000000,nan,0.221877500000000,0.225892500000000,nan,nan,0.236260000000000,nan,0.237167500000000,0.206972500000000,0.210272500000000,0.207247500000000,0.217422500000000
20,1,0.221245000000000,0.213985000000000,0.216927500000000,0.211317500000000,0.211097500000000,0.213270000000000,0.199245000000000,0.213022500000000,nan,0.189647500000000,0.190610000000000,nan,0.212802500000000,0.211977500000000,0.229632500000000,nan,0.212555000000000,0.214645000000000,0.182085000000000,nan,0.215910000000000,0.241980000000000
21,1,0.191682500000000,0.187310000000000,0.216487500000000,0.194515000000000,0.185990000000000,0.198255000000000,nan,0.227185000000000,0.198282500000000,0.189372500000000,nan,0.193910000000000,0.204332500000000,nan,nan,0.204992500000000,nan,0.201225000000000,0.196797500000000,0.206615000000000,0.215662500000000,0.249102500000000
22,1,0.202572500000000,0.203782500000000,0.248277500000000,0.211235000000000,0.198640000000000,0.209200000000000,nan,0.241127500000000,0.201885000000000,0.193662500000000,0.205955000000000,0.197430000000000,0.208320000000000,0.198750000000000,nan,0.227157500000000,nan,0.209777500000000,0.204140000000000,0.201720000000000,0.227735000000000,0.259140000000000
23,1,0.159232500000000,0.144547500000000,0.161020000000000,0.191545000000000,0.173697500000000,0.198310000000000,0.207082500000000,0.224435000000000,0.194845000000000,0.172845000000000,0.186760000000000,0.211702500000000,0.191820000000000,0.208595000000000,0.236480000000000,0.227735000000000,0.230952500000000,0.232355000000000,0.223115000000000,0.237387500000000,0.240660000000000,0.305340000000000
24,1,0.228175000000000,0.200482500000000,0.304680000000000,0.237910000000000,0.207990000000000,0.209062500000000,0.278500000000000,0.306852500000000,0.216487500000000,0.197760000000000,0.206175000000000,0.211180000000000,nan,0.207825000000000,0.316395000000000,0.236425000000000,0.193305000000000,0.209805000000000,0.222730000000000,0.213600000000000,0.252732500000000,0.336745000000000
25,1,0.191325000000000,0.220392500000000,0.332345000000000,0.224655000000000,0.232822500000000,0.220695000000000,0.278170000000000,0.313865000000000,0.209172500000000,0.223362500000000,0.226387500000000,0.207632500000000,nan,0.208705000000000,0.302920000000000,0.235847500000000,0.219347500000000,0.236727500000000,0.244345000000000,0.233895000000000,0.268077500000000,0.369030000000000
26,1,0.227900000000000,0.220337500000000,0.245060000000000,0.227542500000000,0.188960000000000,nan,0.180270000000000,0.202352500000000,0.158022500000000,0.164017500000000,0.178125000000000,0.183295000000000,0.191325000000000,0.175540000000000,0.240385000000000,0.213215000000000,nan,nan,0.211125000000000,0.205900000000000,0.227762500000000,0.255592500000000
27,1,0.216240000000000,0.213352500000000,0.206092500000000,0.219980000000000,0.207220000000000,0.219870000000000,0.213462500000000,0.227075000000000,0.215387500000000,0.197320000000000,0.201582500000000,0.210850000000000,nan,0.214232500000000,0.232877500000000,0.222400000000000,0.218880000000000,0.110475000000000,0.196110000000000,0.229275000000000,0.211235000000000,0.220475000000000
28,1,0.198805000000000,0.210850000000000,0.346480000000000,0.171332500000000,0.157720000000000,0.179307500000000,0.237057500000000,nan,0.169132500000000,nan,0.190280000000000,0.197237500000000,0.221107500000000,0.208815000000000,0.327257500000000,0.262797500000000,0.219320000000000,0.218907500000000,0.214975000000000,0.229742500000000,0.251990000000000,0.400077500000000
29,1,0.180710000000000,0.177547500000000,0.230512500000000,0.204662500000000,0.185990000000000,nan,0.247782500000000,0.309850000000000,0.191132500000000,0.176860000000000,0.194570000000000,0.187062500000000,0.187255000000000,0.192452500000000,0.302370000000000,0.227597500000000,0.182580000000000,0.192150000000000,0.189565000000000,0.182937500000000,nan,nan
30,1,0.210245000000000,0.200757500000000,0.224160000000000,0.224490000000000,0.211070000000000,0.224572500000000,0.218330000000000,0.227460000000000,0.220557500000000,0.206312500000000,0.210740000000000,0.225397500000000,0.225920000000000,0.215497500000000,0.236837500000000,0.232575000000000,0.220007500000000,0.233097500000000,0.233785000000000,0.234225000000000,0.237057500000000,0.242337500000000
31,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,1,0.173505000000000,0.171057500000000,0.227707500000000,0.177905000000000,0.176557500000000,0.171442500000000,0.191847500000000,0.209695000000000,0.169187500000000,0.172350000000000,0.177877500000000,0.176475000000000,0.191875000000000,0.176172500000000,0.233592500000000,0.141715000000000,0.140725000000000,0.151312500000000,nan,0.163055000000000,0.178977500000000,0.231860000000000
33,1,0.213407500000000,0.209970000000000,0.233950000000000,0.204415000000000,0.185825000000000,0.201417500000000,0.210217500000000,0.212940000000000,0.208925000000000,0.193497500000000,nan,0.190335000000000,0.204057500000000,nan,0.215525000000000,nan,0.207990000000000,0.205652500000000,0.207440000000000,nan,0.219732500000000,0.227790000000000
34,1,0.188492500000000,0.170892500000000,0.240935000000000,0.184670000000000,0.182937500000000,0.198200000000000,0.229137500000000,0.252870000000000,0.202077500000000,0.189730000000000,0.198310000000000,0.201142500000000,0.204332500000000,0.198887500000000,0.257380000000000,0.241072500000000,0.223912500000000,0.218935000000000,0.237690000000000,0.237910000000000,0.232272500000000,0.259360000000000
35,1,0.158902500000000,0.157775000000000,0.258122500000000,0.198255000000000,0.154695000000000,0.160305000000000,0.203342500000000,0.242172500000000,0.173092500000000,0.155437500000000,0.170370000000000,0.180215000000000,nan,0.159810000000000,0.275007500000000,0.232245000000000,0.178537500000000,0.187310000000000,0.182442500000000,0.178895000000000,0.220255000000000,0.287410000000000
36,1,0.228450000000000,0.213820000000000,0.241265000000000,0.250725000000000,0.236205000000000,0.213380000000000,0.229495000000000,0.256665000000000,0.220172500000000,0.206560000000000,0.218990000000000,0.218385000000000,0.234005000000000,0.221740000000000,0.261230000000000,0.259222500000000,0.224297500000000,0.237442500000000,nan,0.218467500000000,nan,0.295467500000000
37,1,0.195835000000000,0.207962500000000,0.315735000000000,0.224600000000000,0.229880000000000,0.205735000000000,nan,0.270910000000000,0.199272500000000,0.206835000000000,nan,0.194102500000000,0.205240000000000,nan,nan,0.196357500000000,nan,0.174412500000000,0.252595000000000,0.246407500000000,0.237167500000000,0.305807500000000
38,1,0.180682500000000,0.164210000000000,0.315982500000000,0.188107500000000,0.167207500000000,0.182552500000000,0.241265000000000,0.292992500000000,0.190995000000000,0.155162500000000,0.177877500000000,0.141550000000000,nan,0.146500000000000,0.320245000000000,0.187227500000000,0.125682500000000,0.160250000000000,0.137672500000000,0.151202500000000,0.232520000000000,0.344390000000000
39,1,0.217340000000000,0.207440000000000,0.220447500000000,0.218220000000000,0.211152500000000,0.224297500000000,0.214012500000000,0.224077500000000,0.205707500000000,0.189400000000000,0.194020000000000,0.215002500000000,0.212307500000000,0.218660000000000,0.236205000000000,0.227542500000000,0.223610000000000,0.223307500000000,0.230375000000000,0.237030000000000,0.264282500000000,0.258755000000000
40,1,0.203095000000000,0.190637500000000,0.262522500000000,0.211042500000000,0.192507500000000,0.194680000000000,0.214755000000000,nan,0.198392500000000,0.180902500000000,0.182277500000000,0.197512500000000,nan,0.199080000000000,0.261202500000000,0.218495000000000,0.178510000000000,0.201087500000000,0.185852500000000,0.198557500000000,0.207742500000000,0.284467500000000
41,1,0.209117500000000,0.203425000000000,0.227267500000000,0.204030000000000,0.198007500000000,0.204855000000000,0.210052500000000,nan,0.197622500000000,nan,0.189895000000000,nan,0.199107500000000,0.188657500000000,0.239670000000000,0.213737500000000,0.211317500000000,0.218577500000000,0.207137500000000,0.213407500000000,0.215442500000000,0.234857500000000
42,1,0.217532500000000,0.213655000000000,0.297172500000000,0.237800000000000,0.210987500000000,0.209282500000000,0.256170000000000,nan,0.220557500000000,nan,0.198365000000000,nan,0.221190000000000,0.215277500000000,0.268022500000000,0.241072500000000,0.197210000000000,0.214480000000000,0.226167500000000,0.206312500000000,0.244510000000000,0.281140000000000
43,1,0.224242500000000,0.219925000000000,0.223417500000000,0.220970000000000,0.217092500000000,nan,0.213985000000000,0.216542500000000,0.216130000000000,0.201775000000000,0.209695000000000,0.211180000000000,0.216570000000000,0.217862500000000,0.232657500000000,0.226470000000000,0.222977500000000,nan,0.200097500000000,0.182277500000000,0.203177500000000,0.210300000000000
44,1,0.190995000000000,0.173890000000000,0.352337500000000,0.240550000000000,0.173010000000000,0.189895000000000,0.277977500000000,0.341887500000000,0.216240000000000,0.180957500000000,0.193965000000000,0.200757500000000,nan,0.192342500000000,0.330475000000000,0.245445000000000,0.174330000000000,0.187585000000000,nan,0.186045000000000,0.236260000000000,0.351210000000000
45,1,0.217697500000000,0.217175000000000,0.244455000000000,0.221107500000000,0.223637500000000,0.236040000000000,0.244207500000000,0.263677500000000,0.242145000000000,0.232492500000000,nan,0.239450000000000,0.238267500000000,nan,nan,0.236617500000000,nan,0.232575000000000,0.237690000000000,0.245747500000000,0.244372500000000,0.294642500000000
46,1,0.210107500000000,0.194185000000000,0.213407500000000,0.214865000000000,0.198530000000000,0.235710000000000,0.221822500000000,0.231117500000000,0.220475000000000,0.201885000000000,nan,0.222097500000000,0.221080000000000,nan,nan,0.240962500000000,0.234885000000000,0.232245000000000,0.234032500000000,0.237277500000000,0.231722500000000,0.230842500000000
47,1,0.173532500000000,0.161130000000000,0.231585000000000,0.167895000000000,0.179967500000000,0.190995000000000,0.214425000000000,0.245582500000000,nan,0.189867500000000,0.198640000000000,nan,0.203892500000000,0.195670000000000,0.243877500000000,0.222730000000000,0.200565000000000,0.219017500000000,0.215167500000000,0.221547500000000,0.231970000000000,0.263457500000000
48,1,0.210410000000000,0.187557500000000,0.206807500000000,0.214480000000000,0.189262500000000,0.209502500000000,nan,0.227735000000000,0.202077500000000,0.180957500000000,nan,0.201005000000000,0.209255000000000,nan,0.226470000000000,0.218495000000000,nan,nan,0.156317500000000,0.178895000000000,0.187282500000000,0.235352500000000
49,1,0.228532500000000,0.217175000000000,0.220172500000000,0.221190000000000,0.211152500000000,0.213215000000000,0.206697500000000,0.216570000000000,0.209365000000000,0.185385000000000,0.190197500000000,0.214947500000000,0.217230000000000,0.208457500000000,0.226222500000000,0.227845000000000,0.216707500000000,0.228367500000000,nan,0.226085000000000,0.227927500000000,0.238652500000000
50,1,0.224435000000000,0.229990000000000,0.276080000000000,0.204470000000000,0.204690000000000,0.212940000000000,0.225177500000000,0.259002500000000,0.190637500000000,nan,0.186347500000000,nan,0.208237500000000,0.218880000000000,0.271102500000000,0.236287500000000,0.219292500000000,0.223582500000000,0.193030000000000,0.217972500000000,0.216157500000000,0.305835000000000
51,1,0.195587500000000,0.187530000000000,0.251605000000000,0.198282500000000,0.189262500000000,0.209420000000000,0.229797500000000,0.267252500000000,0.202462500000000,0.198035000000000,0.198585000000000,0.201225000000000,nan,0.192425000000000,0.250340000000000,0.214012500000000,0.174962500000000,0.178372500000000,0.193497500000000,0.190555000000000,0.220090000000000,0.283697500000000
52,1,0.221410000000000,0.204167500000000,0.216432500000000,0.214837500000000,0.208017500000000,0.217092500000000,0.214260000000000,nan,0.205817500000000,nan,0.186622500000000,0.211647500000000,0.208567500000000,0.208540000000000,0.226167500000000,0.241457500000000,0.212252500000000,0.227872500000000,0.215525000000000,0.222042500000000,0.228477500000000,0.245170000000000
53,1,0.224820000000000,0.216955000000000,0.237690000000000,0.234637500000000,0.164100000000000,0.239450000000000,0.266235000000000,0.281112500000000,0.245527500000000,0.236095000000000,0.242997500000000,0.232300000000000,nan,0.214755000000000,0.267527500000000,0.249625000000000,0.204635000000000,0.223472500000000,0.222757500000000,0.205597500000000,0.244592500000000,0.270057500000000
54,1,0.221107500000000,0.230100000000000,0.290792500000000,0.211042500000000,0.220337500000000,0.231722500000000,0.236700000000000,0.256032500000000,0.234307500000000,0.223720000000000,nan,0.239340000000000,0.246435000000000,nan,nan,nan,0.264145000000000,0.277812500000000,0.255922500000000,nan,0.265465000000000,0.333830000000000
55,1,0.214397500000000,0.204277500000000,0.209777500000000,0.197952500000000,0.192507500000000,0.198200000000000,0.199327500000000,0.206285000000000,0.194900000000000,0.185742500000000,0.190665000000000,0.194240000000000,nan,0.160085000000000,0.233015000000000,0.250367500000000,0.208925000000000,0.219320000000000,0.215387500000000,0.221740000000000,0.224820000000000,0.256775000000000
56,1,0.180105000000000,0.173752500000000,0.248277500000000,0.194102500000000,0.169902500000000,0.167290000000000,0.198942500000000,0.227185000000000,0.179582500000000,0.176365000000000,0.177712500000000,0.165777500000000,nan,0.172542500000000,0.253722500000000,0.222812500000000,0.166602500000000,0.187117500000000,nan,0.225067500000000,nan,0.277015000000000
57,1,0.194872500000000,0.193580000000000,0.248387500000000,0.211015000000000,0.207770000000000,0.220337500000000,0.240330000000000,0.270305000000000,nan,0.214755000000000,0.222290000000000,0.221547500000000,0.216432500000000,0.231310000000000,0.271377500000000,nan,0.238102500000000,0.241072500000000,0.211152500000000,nan,0.223307500000000,0.274595000000000
58,1,0.195230000000000,0.190472500000000,0.220750000000000,0.197925000000000,0.189180000000000,0.197842500000000,nan,0.227735000000000,0.194680000000000,0.223197500000000,0.226277500000000,0.183295000000000,0.195615000000000,0.208072500000000,0.250972500000000,0.254602500000000,nan,0.241677500000000,0.244895000000000,0.252650000000000,0.248662500000000,0.263237500000000
59,1,0.217037500000000,0.197072500000000,0.227267500000000,0.208017500000000,0.208045000000000,0.212885000000000,0.228890000000000,0.245087500000000,0.205405000000000,0.198090000000000,0.210685000000000,0.207935000000000,nan,0.202215000000000,0.243630000000000,0.227102500000000,0.212335000000000,0.228395000000000,0.218935000000000,0.217670000000000,0.228120000000000,0.248772500000000
60,1,0.231722500000000,0.223445000000000,0.234390000000000,0.154667500000000,0.148370000000000,0.198227500000000,0.236452500000000,0.249075000000000,0.216377500000000,0.206477500000000,nan,0.214810000000000,0.233647500000000,nan,nan,0.227350000000000,0.223417500000000,0.232630000000000,0.226250000000000,0.236837500000000,0.232492500000000,0.238405000000000
61,1,0.227652500000000,0.220062500000000,0.216295000000000,0.231172500000000,0.226662500000000,0.231722500000000,0.228807500000000,nan,0.227295000000000,nan,0.222097500000000,0.214865000000000,0.217175000000000,0.211867500000000,0.246875000000000,0.236342500000000,0.226910000000000,0.227900000000000,0.229852500000000,0.228835000000000,0.224077500000000,0.241567500000000
62,1,0.239862500000000,0.221272500000000,0.224407500000000,0.241320000000000,0.204910000000000,0.213105000000000,0.214920000000000,nan,0.238872500000000,nan,0.211400000000000,0.235875000000000,0.200592500000000,0.231777500000000,0.289610000000000,0.259855000000000,0.258177500000000,0.260350000000000,0.252512500000000,0.262715000000000,0.257435000000000,0.347937500000000
63,1,0.184175000000000,0.190472500000000,0.216900000000000,0.204525000000000,0.185962500000000,0.205350000000000,nan,0.237992500000000,0.183707500000000,0.198035000000000,0.198310000000000,0.176530000000000,0.187227500000000,0.201995000000000,0.254355000000000,0.259140000000000,nan,0.242227500000000,0.222702500000000,0.229137500000000,0.244455000000000,0.273825000000000
64,1,0.158875000000000,0.161212500000000,0.199382500000000,0.194762500000000,0.186072500000000,0.179142500000000,0.202957500000000,0.216680000000000,0.176695000000000,0.172735000000000,0.182332500000000,0.166107500000000,0.187475000000000,0.159645000000000,nan,0.187145000000000,0.167262500000000,0.178620000000000,0.174852500000000,0.178867500000000,0.203397500000000,0.256170000000000
65,1,0.191792500000000,0.190720000000000,0.233895000000000,0.197677500000000,0.201747500000000,0.175512500000000,0.240302500000000,0.274127500000000,0.198282500000000,0.185055000000000,0.186292500000000,0.158985000000000,0.161625000000000,0.198915000000000,0.236480000000000,0.236507500000000,0.216267500000000,0.223802500000000,0.219237500000000,0.226085000000000,0.236562500000000,0.256720000000000
66,1,0.224490000000000,0.213627500000000,0.212692500000000,0.231172500000000,0.217285000000000,0.220777500000000,0.217532500000000,nan,0.223775000000000,nan,0.198227500000000,0.225370000000000,0.217312500000000,0.218357500000000,0.222235000000000,0.213820000000000,0.211977500000000,0.210135000000000,0.203645000000000,0.210300000000000,0.199162500000000,0.206917500000000
67,1,0.205845000000000,0.210547500000000,0.269342500000000,0.207660000000000,0.210575000000000,0.212747500000000,0.233097500000000,0.259910000000000,0.187062500000000,0.189592500000000,0.206065000000000,0.204112500000000,nan,0.211125000000000,0.250862500000000,0.231172500000000,0.200482500000000,0.218027500000000,0.199987500000000,0.198200000000000,0.231007500000000,0.276740000000000
68,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,1,0.187832500000000,0.164375000000000,0.207110000000000,0.217945000000000,0.201637500000000,0.212582500000000,nan,0.245170000000000,0.212225000000000,0.211345000000000,0.214397500000000,0.204167500000000,0.211977500000000,0.204800000000000,0.226690000000000,0.218055000000000,nan,0.218385000000000,0.222345000000000,0.229165000000000,0.227680000000000,0.231035000000000
