OID_,CID,L7_20140124_NIR,L7_20140209_NIR,L7_20140313_NIR,L7_20141023_NIR,L7_20141210_NIR,L7_20150127_NIR,L7_20150212_NIR,L7_20170116_NIR,L7_20170201_NIR,L7_20170508_NIR,L7_20171202_NIR,L7_20180308_NIR,L7_20181205_NIR,L7_20200125_NIR,L7_20201124_NIR,L7_20201210_NIR,L7_20211127_NIR,L7_20211229_NIR,L7_20220114_NIR,L7_20220404_NIR,L7_20221024_NIR,L7_20221202_NIR,L7_20221214_NIR,L7_20221219_NIR,L7_20230319_NIR,L7_20230324_NIR,L7_20230916_NIR,L7_20230921_NIR
16,1,0.187805000000000,0.184532500000000,0.186072500000000,nan,0.192865000000000,0.180187500000000,0.186760000000000,0.227405000000000,0.212417500000000,0.297640000000000,0.208430000000000,0.202050000000000,0.181342500000000,nan,0.207302500000000,0.225150000000000,0.220750000000000,0.202297500000000,0.212692500000000,0.210905000000000,0.229027500000000,nan,0.236590000000000,0.221657500000000,0.217587500000000,nan,0.246820000000000,0.233125000000000
17,1,0.201170000000000,0.196687500000000,0.208952500000000,0.218247500000000,0.199850000000000,0.193717500000000,nan,0.219815000000000,0.195972500000000,0.293955000000000,0.204607500000000,0.204910000000000,0.212252500000000,0.197760000000000,nan,0.168005000000000,0.166025000000000,nan,0.155685000000000,0.201445000000000,0.204057500000000,nan,nan,0.163027500000000,0.198502500000000,nan,nan,0.219430000000000
18,1,0.226112500000000,0.215965000000000,0.248057500000000,0.235930000000000,0.225177500000000,0.214507500000000,nan,0.204415000000000,0.218935000000000,0.325552500000000,0.215992500000000,0.249570000000000,0.234225000000000,0.219210000000000,0.215112500000000,0.187667500000000,0.233042500000000,nan,0.208457500000000,0.298602500000000,0.248387500000000,0.208320000000000,0.257407500000000,0.210492500000000,0.306935000000000,nan,0.277235000000000,0.253392500000000
19,1,0.214837500000000,0.209420000000000,0.212885000000000,0.226525000000000,0.221327500000000,nan,0.218577500000000,nan,nan,0.242667500000000,0.212115000000000,0.213270000000000,0.184917500000000,0.222730000000000,0.169380000000000,0.180270000000000,0.132640000000000,0.115232500000000,0.132062500000000,0.117982500000000,0.173065000000000,nan,0.167317500000000,0.133905000000000,0.167290000000000,nan,0.211647500000000,0.185962500000000
20,1,0.218522500000000,0.206807500000000,0.212967500000000,0.226855000000000,0.225260000000000,0.214040000000000,nan,0.249075000000000,0.234857500000000,0.248882500000000,0.230072500000000,0.229522500000000,0.171085000000000,0.208787500000000,0.206752500000000,0.221960000000000,0.233345000000000,nan,0.217422500000000,0.141027500000000,0.240440000000000,nan,0.264530000000000,0.215800000000000,0.217147500000000,nan,nan,0.246435000000000
21,1,0.201390000000000,0.193855000000000,0.209172500000000,0.201527500000000,0.200235000000000,nan,0.202737500000000,nan,nan,0.249432500000000,0.208705000000000,0.205680000000000,0.195257500000000,0.212170000000000,0.206862500000000,0.221630000000000,0.220942500000000,0.198062500000000,0.198530000000000,0.210080000000000,0.216075000000000,nan,0.229880000000000,0.192507500000000,0.192205000000000,nan,0.225810000000000,0.212885000000000
22,1,0.229165000000000,0.216020000000000,0.236370000000000,0.235572500000000,0.220915000000000,nan,0.225425000000000,nan,nan,0.274567500000000,0.212115000000000,0.221217500000000,0.205570000000000,0.215525000000000,0.199272500000000,0.211977500000000,0.216707500000000,0.212802500000000,0.208237500000000,0.237690000000000,0.210630000000000,nan,0.222840000000000,0.186842500000000,0.223802500000000,nan,0.240880000000000,0.219897500000000
23,1,nan,0.216240000000000,0.221245000000000,0.209970000000000,nan,0.210932500000000,0.206505000000000,0.234775000000000,0.216322500000000,0.299042500000000,0.216432500000000,0.210492500000000,0.160882500000000,0.209117500000000,0.207055000000000,nan,nan,0.236095000000000,0.227157500000000,nan,0.246985000000000,nan,0.250725000000000,nan,0.217285000000000,nan,nan,0.239862500000000
24,1,0.208485000000000,0.193827500000000,0.209530000000000,0.222977500000000,0.221327500000000,0.200702500000000,0.205927500000000,0.208155000000000,0.212335000000000,0.326625000000000,0.212032500000000,0.225892500000000,0.222895000000000,0.212115000000000,0.210657500000000,0.212060000000000,0.216597500000000,0.207660000000000,0.203507500000000,nan,0.229220000000000,nan,0.229935000000000,nan,0.305835000000000,nan,nan,0.240082500000000
25,1,nan,0.190280000000000,0.197375000000000,0.197457500000000,nan,0.190417500000000,0.202435000000000,0.231172500000000,0.232107500000000,0.335095000000000,0.226607500000000,0.252925000000000,0.212170000000000,0.222455000000000,0.236260000000000,nan,nan,0.227652500000000,0.226772500000000,nan,0.235242500000000,nan,0.242777500000000,nan,0.248140000000000,nan,nan,0.253062500000000
26,1,0.194240000000000,0.187145000000000,0.201197500000000,0.214150000000000,0.206807500000000,0.200372500000000,0.196467500000000,0.212775000000000,0.199080000000000,0.260680000000000,0.200757500000000,nan,0.198612500000000,0.176392500000000,0.165612500000000,0.200455000000000,0.174275000000000,0.166300000000000,0.165255000000000,0.191380000000000,0.191655000000000,nan,0.201445000000000,0.174825000000000,nan,nan,0.225920000000000,nan
27,1,0.207935000000000,0.193305000000000,0.204827500000000,0.213655000000000,0.206202500000000,0.206615000000000,0.208155000000000,0.219705000000000,0.205267500000000,0.236700000000000,0.200400000000000,0.208512500000000,0.215827500000000,0.211537500000000,0.205955000000000,0.228175000000000,0.219402500000000,0.206065000000000,0.207357500000000,nan,0.190940000000000,nan,0.186952500000000,nan,0.179252500000000,nan,0.288400000000000,0.258122500000000
28,1,nan,nan,0.213022500000000,0.243547500000000,nan,0.220805000000000,0.218687500000000,0.242117500000000,0.238790000000000,nan,nan,0.237112500000000,nan,0.215442500000000,0.217945000000000,nan,nan,0.227652500000000,nan,0.270332500000000,0.248002500000000,nan,nan,nan,0.260707500000000,nan,nan,0.253282500000000
29,1,0.152962500000000,0.143337500000000,0.162532500000000,nan,0.168307500000000,0.149827500000000,0.157692500000000,0.187172500000000,0.176585000000000,0.321895000000000,0.173037500000000,0.213572500000000,0.143530000000000,nan,0.225617500000000,0.213710000000000,0.204112500000000,0.156812500000000,0.155822500000000,0.223637500000000,0.222070000000000,nan,0.188300000000000,0.157335000000000,0.186072500000000,nan,0.239725000000000,0.212940000000000
30,1,0.225645000000000,0.212665000000000,0.232492500000000,0.239367500000000,0.221685000000000,0.210795000000000,0.218660000000000,0.191765000000000,0.183405000000000,0.245995000000000,0.201527500000000,0.202270000000000,0.174467500000000,0.198172500000000,0.210685000000000,0.209585000000000,0.208045000000000,0.193497500000000,0.198365000000000,nan,0.240385000000000,nan,0.250422500000000,nan,0.210740000000000,nan,0.288702500000000,0.259745000000000
31,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,1,0.152880000000000,0.146307500000000,0.154942500000000,0.184587500000000,0.175210000000000,0.153292500000000,0.151285000000000,0.188135000000000,0.167097500000000,0.266647500000000,0.180242500000000,0.169902500000000,0.122712500000000,0.166025000000000,0.195532500000000,0.192507500000000,0.186567500000000,0.172625000000000,0.174577500000000,0.200922500000000,0.209392500000000,nan,0.236342500000000,nan,0.179362500000000,nan,0.225012500000000,0.219402500000000
33,1,0.180655000000000,0.171580000000000,0.177960000000000,0.205790000000000,0.210300000000000,0.193442500000000,nan,0.212445000000000,0.199135000000000,0.249432500000000,0.194047500000000,0.197072500000000,0.181315000000000,0.179967500000000,0.188052500000000,0.194982500000000,0.170122500000000,nan,0.165255000000000,0.150432500000000,0.234995000000000,nan,0.221960000000000,0.209942500000000,0.204525000000000,nan,0.283065000000000,0.265987500000000
34,1,0.201307500000000,0.200317500000000,0.205212500000000,0.218385000000000,0.203975000000000,0.197292500000000,0.202572500000000,0.216570000000000,0.202600000000000,0.284550000000000,0.172927500000000,0.173917500000000,0.102032500000000,0.162477500000000,0.150927500000000,0.159755000000000,0.166245000000000,0.130825000000000,0.141605000000000,nan,0.210025000000000,nan,0.153457500000000,nan,0.179747500000000,nan,0.225590000000000,0.212885000000000
35,1,nan,0.165860000000000,0.178455000000000,0.214452500000000,nan,0.160195000000000,0.164237500000000,0.180682500000000,0.167152500000000,0.301325000000000,0.187255000000000,0.185880000000000,0.147050000000000,0.166107500000000,0.199575000000000,nan,nan,0.172845000000000,0.165447500000000,nan,0.216322500000000,nan,0.216130000000000,nan,0.204910000000000,nan,nan,0.226415000000000
36,1,0.194570000000000,0.194432500000000,0.205432500000000,nan,0.200015000000000,0.200730000000000,0.206120000000000,0.217120000000000,0.212527500000000,0.291397500000000,0.194405000000000,0.213572500000000,0.167565000000000,nan,0.206972500000000,0.217532500000000,0.212747500000000,0.203342500000000,0.203177500000000,0.233097500000000,0.234637500000000,nan,0.236590000000000,nan,0.223005000000000,nan,0.253777500000000,0.226250000000000
37,1,0.236370000000000,0.241622500000000,0.229275000000000,0.239615000000000,0.261560000000000,nan,0.248360000000000,nan,nan,0.330530000000000,0.252127500000000,0.246242500000000,0.184780000000000,0.256087500000000,0.270552500000000,0.287410000000000,0.299510000000000,0.303057500000000,0.297585000000000,0.288152500000000,0.277042500000000,nan,0.319200000000000,0.274045000000000,0.266565000000000,nan,0.295715000000000,0.272972500000000
38,1,nan,0.140202500000000,0.178565000000000,0.206312500000000,nan,0.146417500000000,0.161130000000000,0.176145000000000,0.163742500000000,0.360780000000000,0.190692500000000,0.202242500000000,0.174687500000000,0.158930000000000,0.173395000000000,nan,nan,0.166685000000000,0.141742500000000,nan,0.198117500000000,nan,nan,nan,0.237195000000000,nan,nan,0.206202500000000
39,1,0.177355000000000,0.175127500000000,0.182112500000000,0.193332500000000,0.189620000000000,0.177410000000000,0.183515000000000,0.204992500000000,0.199382500000000,0.242172500000000,0.212225000000000,0.217037500000000,0.174742500000000,0.205212500000000,0.203342500000000,0.212582500000000,0.238075000000000,0.223830000000000,0.227350000000000,nan,0.240715000000000,nan,0.258067500000000,nan,0.224077500000000,nan,0.254052500000000,0.233345000000000
40,1,nan,nan,0.197622500000000,0.226690000000000,nan,0.190555000000000,0.189785000000000,0.217285000000000,0.212582500000000,nan,nan,0.201610000000000,nan,0.209172500000000,0.214232500000000,nan,nan,0.198612500000000,nan,nan,0.264530000000000,nan,0.250120000000000,nan,0.266400000000000,nan,nan,0.293020000000000
41,1,nan,nan,0.205047500000000,0.213985000000000,nan,0.213820000000000,0.218440000000000,0.231612500000000,0.202215000000000,nan,0.193772500000000,0.205047500000000,nan,0.236590000000000,0.187722500000000,nan,nan,0.160910000000000,nan,0.182607500000000,0.228560000000000,nan,nan,nan,0.185990000000000,nan,nan,0.225617500000000
42,1,0.194487500000000,0.184477500000000,nan,0.239477500000000,0.214425000000000,0.193855000000000,0.193167500000000,0.206477500000000,0.205680000000000,0.293900000000000,nan,0.205377500000000,0.160662500000000,0.187200000000000,nan,0.221245000000000,0.203342500000000,0.167510000000000,0.155740000000000,0.214782500000000,0.228340000000000,nan,nan,0.116140000000000,0.204085000000000,nan,nan,0.192562500000000
43,1,0.218660000000000,0.212445000000000,0.216680000000000,0.226387500000000,0.227872500000000,0.213600000000000,0.224407500000000,0.230045000000000,0.221712500000000,0.249047500000000,0.208155000000000,nan,0.146885000000000,0.197595000000000,0.202930000000000,0.219485000000000,0.186650000000000,0.166272500000000,0.179500000000000,0.187420000000000,0.191627500000000,nan,0.187585000000000,0.163137500000000,nan,nan,0.247535000000000,nan
44,1,0.159700000000000,0.152550000000000,0.174082500000000,0.205900000000000,0.167537500000000,0.159727500000000,0.167125000000000,0.184807500000000,0.166685000000000,0.325030000000000,0.168885000000000,0.205295000000000,0.157115000000000,0.162092500000000,0.165475000000000,0.178757500000000,0.186650000000000,0.155877500000000,0.150872500000000,0.260845000000000,0.253255000000000,nan,0.255895000000000,nan,0.317330000000000,nan,0.310895000000000,0.298960000000000
45,1,0.232327500000000,0.228697500000000,0.236122500000000,0.230897500000000,0.228972500000000,nan,0.225012500000000,nan,nan,0.305257500000000,0.230210000000000,0.241430000000000,0.195257500000000,0.233840000000000,0.218055000000000,0.233812500000000,0.237580000000000,0.224682500000000,0.222317500000000,0.237387500000000,0.253062500000000,nan,0.264640000000000,0.227597500000000,0.236067500000000,nan,0.253777500000000,0.239752500000000
46,1,0.201390000000000,0.194102500000000,0.197787500000000,0.201857500000000,0.203892500000000,nan,0.202435000000000,nan,nan,0.238570000000000,0.194377500000000,0.197347500000000,0.164375000000000,0.205267500000000,0.203342500000000,0.221025000000000,0.229742500000000,0.214177500000000,0.213050000000000,0.215085000000000,0.191325000000000,nan,0.188575000000000,0.163467500000000,0.154860000000000,nan,0.126535000000000,0.152385000000000
